,Unnamed: 0,no,age,gender,education,country,ethnicity,Nscore,Escore,Oscore,AScore,Cscore,Alcohol,value,freq
1709,1709,1382,18-24,M,5,USA,White,-1.05308,0.47617,1.06238,1.81866,1.30612,Used in Last Day,1,6
1711,1711,1445,35-44,F,8,UK,White,-0.67825,-0.43999,-1.11902,1.81866,0.93949,Used in Last Day,1,6
1714,1714,1572,45-54,M,6,UK,White,-0.79151,-0.43999,-0.01928,1.81866,0.7583,Used in Last Day,1,6
1725,1725,649,35-44,F,8,USA,White,1.13281,0.16767,1.06238,2.03972,-1.0145,Used in Last Day,1,6
1729,1729,1070,25-34,F,9,UK,White,-0.92104,0.00332,1.06238,2.03972,2.04506,Used in Last Day,1,6
1733,1733,1688,25-34,F,6,Canada,White,1.49158,-2.32338,-1.11902,2.03972,-0.27607,Used in Last Day,1,6
1742,1742,767,18-24,M,5,USA,White,1.02119,-0.80615,0.29338,2.23427,-0.65253,Used in Last Day,1,6
1747,1747,1184,25-34,F,6,Australia,White,0.41667,-0.43999,-0.58331,2.23427,-0.78155,Used in Last Day,1,6
1751,1751,348,45-54,F,7,UK,White,-0.14882,1.74091,1.65653,2.46262,0.25953,Used in Last Day,1,6
1757,1757,447,25-34,F,7,UK,White,0.22393,-1.09207,0.44585,2.75696,-0.65253,Used in Last Day,1,6
1758,1758,1039,35-44,F,8,USA,White,1.23461,-1.50796,-0.01928,2.75696,-0.78155,Used in Last Day,1,6
